id;nome;sexo;dt_nasc
1;Lavinia Sousa;F;5/2/1975
2;Caio Pereira;M;4/16/1978
3;Júlio Azevedo;M;11/4/1952
4;Sarah Goncalves;F;2/24/1937
5;Gabrielle Martins;F;5/6/1953
6;Felipe Almeida;M;10/11/1976
7;Rebeca Rodrigues;F;11/27/1979
8;Gabrielly Almeida;F;7/14/1997
9;Fernanda Silva;F;1/25/1959
10;Tomás Rodrigues;M;4/10/1935
11;Ana Cunha;F;2/12/2002
12;Vinicius Rodrigues;M;4/13/1951
13;Emilly Goncalves;F;9/12/1955
14;Eduardo Santos;M;7/22/1980
15;Gustavo Barbosa;M;4/19/1936
16;Kai Ferreira;M;9/3/1985
17;Diego Carvalho;M;1/17/1957
18;Antônio Azevedo;M;4/15/1941
19;Luis Araujo;M;1/22/1966
20;Kauan Barros;M;1/4/1963
21;Gustavo Cardoso;M;10/13/1939
22;Ágatha Cardoso;F;1/29/1997
23;Gabrielly Castro;F;12/29/1980
24;Bruna Barbosa;F;7/16/1951
25;Otávio Carvalho;M;8/9/1943
26;Isabella Lima;F;8/12/1987
27;Enzo Costa;M;8/23/1988
28;Pedro Rocha;M;7/19/1943
29;Samuel Martins;M;2/13/1956
30;Mariana Cavalcanti;F;8/24/1941
31;Luis Rodrigues;M;8/7/1935
32;Luana Rocha;F;9/17/1986
33;Antônio Gomes;M;10/7/1997
34;Arthur Alves;M;5/30/1954
35;Luiza Melo;F;10/23/1985
36;Felipe Azevedo;M;10/13/1964
37;Emily Araujo;F;6/15/1989
38;Leonardo Sousa;M;4/26/1958
39;Giovana Barbosa;F;10/7/1962
40;Camila Cunha;F;10/18/1968
41;Tânia Cardoso;F;12/11/1967
42;Gabriela Cavalcanti;F;2/11/1983
43;Rafael Ferreira;M;3/6/1940
44;André Cavalcanti;M;4/12/1972
45;Maria Oliveira;F;1/9/1984
46;Isabela Pinto;F;11/10/1944
47;Ágatha Goncalves;F;4/18/1936
48;Diogo Alves;M;9/2/1981
49;Rafael Melo;M;9/3/1972
50;Tânia Azevedo;F;9/20/1998
51;Evelyn Castro;F;11/18/1936
52;Isabela Gomes;F;5/30/1970
53;Julieta Alves;F;12/26/1988
54;Beatrice Goncalves;F;1/1/1937
55;Evelyn Melo;F;4/13/1983
56;Rafael Santos;M;8/1/1948
57;Emily Silva;F;4/21/1986
58;Rodrigo Souza;M;12/30/1999
59;Rodrigo Ribeiro;M;11/5/1941
60;Camila Azevedo;F;12/11/1975
61;Laura Barbosa;F;10/11/1969
62;Kauan Araujo;M;10/8/1982
63;Bianca Araujo;F;1/31/1964
64;Tânia Costa;F;5/13/1959
65;Luiza Araujo;F;1/19/1976
66;Leila Araujo;F;10/24/1982
67;Anna Melo;F;11/6/1995
68;Erick Ferreira;M;6/14/1973
69;Estevan Ribeiro;M;11/18/2002
70;Yasmin Fernandes;F;8/4/1992
71;Kauê Araujo;M;5/9/1973
72;Luana Oliveira;F;11/6/1967
73;Matheus Rodrigues;M;11/20/1982
74;Julia Carvalho;F;12/2/1949
75;Kai Fernandes;M;9/18/1961
76;Laura Oliveira;F;9/27/1953
77;Ryan Sousa;M;7/23/1938
78;Leila Sousa;F;8/22/1988
79;Thaís Pinto;F;9/5/1943
80;Anna Melo;F;8/10/1999
81;Rafaela Sousa;F;3/8/1987
82;Julian Azevedo;M;2/10/1991
83;Miguel Correia;M;10/8/1945
84;Alex Oliveira;M;3/14/1968
85;Giovana Correia;F;1/28/1990
86;Guilherme Castro;M;11/15/1986
87;Lara Fernandes;F;6/26/1963
88;Mariana Cardoso;F;9/11/1943
89;Fernanda Barbosa;F;4/18/1961
90;Eduardo Cardoso;M;7/14/1935
91;Nicole Sousa;F;1/2/1954
